name,age,nationality,height_cm,weight_kgs,body_type,positions,acceleration,sprint_speed,agility,dribbling,ball_control,short_passing,long_passing,vision,finishing,positioning,interceptions,standing_tackle,sliding_tackle,strength,stamina,crossing,heading_accuracy,volleys,curve,freekick_accuracy,shot_power,jumping,long_shots,aggression,marking,reactions,balance,composure,penalties,overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),potential_level,growth_index,strength_index,attacking_score,midfield_score,defensive_score,recommended_role
S. Glarner,31,Switzerland,152.4,73.9,Normal,"RB,RM",65,68,71,54,65,60,56,56,57,58,62,61,64,73,79,65,47,48,53,44,47,73,46,66,63,59,71,60,42,65,65,400000.0,4000.0,1,2,2,Low,0,61.2,54.0,62.75,65.0,Defender
D. Rosales,20,Mexico,170.18,66.2,Normal,RB,70,68,65,54,56,57,54,43,32,49,57,63,60,45,50,63,52,34,40,42,45,55,34,56,62,64,75,45,42,61,73,400000.0,2000.0,1,2,2,Medium,12,47.2,45.0,51.0,56.25,Defender
J. Ortiz,34,Argentina,154.94,73.9,Lean,CM,67,66,67,65,70,72,75,63,52,63,67,63,54,57,68,64,55,67,67,62,73,68,65,73,66,62,67,62,63,68,68,425000.0,6000.0,1,3,3,Medium,0,64.0,63.25,69.5,60.25,Midfielder
J. Minala,22,Cameroon,182.88,83.9,Stocky,CM,69,54,61,69,72,73,68,65,60,63,69,62,60,68,76,49,60,52,55,52,68,73,65,75,66,66,61,65,43,70,76,2400000.0,17000.0,1,3,3,Medium,6,68.6,65.0,70.5,64.75,Midfielder
Otávio Cairinho,27,Brazil,152.4,79.8,Normal,"CB,RB",56,61,54,44,56,64,61,44,43,36,72,75,76,76,61,62,72,43,47,55,61,82,54,82,77,67,63,69,66,75,75,6000000.0,23000.0,1,3,2,Medium,0,51.2,46.0,57.5,74.75,Defender
D. D'Ambrosio,30,Italy,154.94,74.8,Normal,"RB,LB",72,72,74,69,72,69,64,54,48,65,75,79,77,68,76,71,71,54,63,62,66,78,58,77,78,76,70,72,60,76,76,6000000.0,50000.0,2,3,3,Medium,0,63.2,62.0,65.75,74.75,Defender
F. Oreja,36,Argentina,167.64,68.9,Normal,"RB,CB",74,62,73,53,61,64,62,60,27,63,75,71,75,65,40,69,45,28,53,35,56,79,53,79,69,84,85,67,47,69,69,120000.0,5000.0,1,2,2,Medium,0,48.8,49.75,56.5,71.5,Defender
A. Shabanov,27,Ukraine,187.96,78.9,Normal,"CB,LB,CDM",58,62,48,23,48,71,75,28,23,20,72,75,72,72,68,21,73,24,20,29,34,65,15,68,70,73,50,65,37,72,77,3400000.0,1000.0,1,3,2,Medium,5,42.6,25.0,60.5,72.75,Defender
M. Barragán,27,Mexico,152.4,76.2,Lean,"ST,LW",76,74,76,68,70,65,55,66,71,69,31,36,31,72,69,58,80,65,66,54,70,86,62,65,18,62,64,53,67,71,71,2600000.0,10000.0,1,4,3,Medium,0,67.8,69.5,63.75,42.5,Attacker
L. Amos,22,England,152.4,72.1,Lean,"CM,CDM",58,63,66,61,62,70,67,70,44,48,57,66,61,61,68,57,44,36,54,48,57,65,62,66,62,60,71,63,45,65,76,925000.0,13000.0,1,4,3,Medium,11,62.6,52.5,68.75,61.25,Midfielder
R. Kurzawa,26,Poland,182.88,73.0,Normal,LM,51,65,72,72,71,72,70,74,59,68,59,65,63,59,67,73,50,60,73,67,68,60,72,39,61,69,66,71,55,70,71,2100000.0,10000.0,1,2,3,Medium,1,68.8,66.75,70.75,61.5,Midfielder
G. Treand,33,France,152.4,73.9,Lean,"LM,RM",62,66,67,62,64,68,60,62,62,68,38,37,30,59,68,57,54,57,63,65,66,68,54,57,35,61,68,54,58,64,64,350000.0,2000.0,1,3,2,Low,0,64.4,64.5,64.5,41.0,Attacker
D. Mohamed,29,France,182.88,73.0,Normal,"CDM,CM",76,72,71,62,64,67,65,65,55,63,70,64,63,66,82,67,64,51,59,62,62,73,54,67,70,66,64,64,68,68,68,700000.0,5000.0,1,2,2,Medium,0,66.2,60.5,69.75,65.75,Midfielder
M. Jeannin,27,Algeria,187.96,81.2,Normal,GK,49,50,37,10,22,31,19,11,9,18,21,19,18,77,27,15,16,10,10,9,23,59,8,19,10,55,57,52,15,64,65,350000.0,1000.0,1,2,1,Low,1,17.6,15.0,22.0,33.75,Defender
Cesinha,29,Brazil,152.4,73.9,Lean,"LW,RW,CM",72,72,64,71,70,67,40,60,70,70,14,18,20,57,66,58,56,65,33,28,69,64,63,35,45,65,69,62,64,68,68,900000.0,3000.0,1,3,4,Medium,0,66.8,70.0,58.25,27.25,Attacker
U. Moses Ekpai,23,Nigeria,175.26,74.8,Normal,RM,80,80,73,70,68,61,54,58,65,69,20,22,19,47,63,61,55,62,48,38,66,50,56,34,22,65,73,53,50,67,75,1100000.0,1000.0,1,3,3,Medium,8,63.4,67.5,59.0,27.0,Attacker
M. Knaller,31,Austria,193.04,86.2,Normal,GK,41,44,38,13,14,13,14,22,12,12,22,15,13,64,37,13,13,14,14,14,15,66,15,23,16,70,26,53,18,68,68,550000.0,8000.0,1,3,1,Medium,0,19.4,13.0,21.5,28.5,Defender
D. Fletcher,35,Scotland,182.88,83.0,Lean,"CM,CDM",44,44,53,63,72,73,73,66,59,57,69,72,71,67,59,73,78,62,70,56,76,65,69,75,72,70,61,76,62,70,70,875000.0,23000.0,2,3,3,Medium,0,64.0,63.75,67.75,69.75,Defender
R. Augustyniak,25,Poland,185.42,82.1,Normal,"CDM,CB",65,67,62,57,61,64,58,48,47,42,63,65,66,81,75,51,44,43,49,55,42,59,59,66,65,56,54,46,43,65,71,625000.0,1000.0,1,3,2,Medium,6,58.2,47.0,61.25,68.75,Defender
S. Sinclair,31,England,170.18,67.1,Normal,CM,79,69,59,57,58,61,56,53,52,52,66,63,60,68,90,54,55,47,60,46,58,66,55,74,47,46,66,54,53,60,60,190000.0,2000.0,1,2,2,Low,0,62.6,54.75,65.0,64.25,Midfielder
S. Zwierschitz,28,Austria,182.88,74.8,Lean,RB,69,69,64,58,55,63,57,42,41,53,64,68,63,69,68,59,59,36,55,61,58,74,49,63,67,62,56,49,56,65,65,450000.0,3000.0,1,4,2,Low,0,54.4,52.5,57.5,66.0,Defender
L. Ndukwu,20,England,175.26,72.1,Normal,"RM,LM",76,70,71,68,67,58,41,55,58,56,21,28,31,59,64,59,39,45,47,51,57,42,64,45,29,45,71,58,40,62,77,650000.0,5000.0,1,5,3,Medium,15,60.6,59.75,54.5,34.75,Attacker
M. Penney,21,England,175.26,64.0,Lean,"LB,LWB",76,73,66,69,61,62,56,57,59,62,56,65,62,52,65,62,55,60,63,67,66,62,59,58,54,59,86,58,50,63,76,625000.0,4000.0,1,3,2,Medium,13,62.4,64.0,60.0,58.75,Attacker
K. Bennett,28,England,165.1,60.8,Lean,"LM,CAM",84,78,87,67,61,58,50,60,53,63,48,36,25,43,72,54,35,52,57,50,62,41,53,42,32,60,87,58,58,64,64,475000.0,3000.0,1,3,4,Low,0,62.0,61.25,60.0,38.0,Attacker
I. Kiese Thelin,26,Sweden,187.96,82.1,Lean,ST,46,62,61,65,72,74,59,72,71,74,20,25,20,85,77,46,78,68,48,35,71,52,58,71,35,71,45,65,72,72,74,3800000.0,16000.0,1,3,3,Medium,2,71.8,70.25,70.5,37.5,Midfielder
D. O'Shea,20,Republic of Ireland,182.88,64.9,Normal,CB,62,65,53,42,49,46,40,35,30,27,60,62,61,73,69,34,58,30,37,28,48,74,22,55,61,52,56,51,45,61,73,375000.0,2000.0,1,3,2,Medium,12,44.4,36.75,47.5,64.0,Defender
K. Bucker,22,Netherlands,198.12,86.2,Normal,GK,30,32,30,13,15,21,18,30,5,4,13,12,14,54,24,10,10,7,10,9,24,32,8,20,7,60,26,40,13,58,68,160000.0,1000.0,1,3,1,Medium,10,18.6,11.5,23.25,23.25,Midfielder
Yang Qipeng,31,China PR,185.42,76.2,Lean,GK,38,52,62,12,10,40,39,61,15,17,15,20,17,61,31,14,25,18,19,24,17,62,17,41,25,63,53,55,23,60,60,130000.0,2000.0,1,3,1,Low,0,31.8,15.25,42.75,28.25,Midfielder
M. Sels,27,Belgium,190.5,88.0,Normal,GK,37,35,36,19,33,32,30,45,16,18,13,13,14,67,30,16,14,19,17,17,38,70,18,24,12,70,34,60,22,77,80,7500000.0,15000.0,1,2,1,Medium,3,28.4,22.75,34.25,26.75,Midfielder
C. Ibargüen,23,Colombia,154.94,78.9,Normal,ST,74,74,57,66,67,54,34,67,73,68,19,24,26,79,72,34,60,66,55,69,71,75,59,85,27,59,56,56,68,69,77,1600000.0,1000.0,1,3,3,Medium,8,66.4,69.5,56.75,37.0,Attacker
A. Saint-Maximin,21,France,172.72,67.1,Normal,"RW,LW,ST",93,92,93,87,81,74,70,70,74,74,15,16,22,66,77,66,53,59,70,46,80,68,70,36,26,78,87,79,47,79,86,18000000.0,31000.0,2,4,4,High,7,76.4,78.75,72.75,29.75,Attacker
Carleto Costinha,27,Brazil,175.26,68.9,Lean,"CAM,ST,RM",88,82,81,71,74,75,63,70,68,71,43,52,38,44,63,72,47,61,71,73,61,53,51,42,19,64,81,73,77,72,72,3300000.0,20000.0,1,4,3,Medium,0,69.4,67.75,67.75,44.25,Attacker
P. Prosenik,26,Austria,187.96,79.8,Lean,ST,46,54,52,53,59,59,54,50,64,65,23,34,28,76,74,41,75,54,54,36,67,69,58,70,25,62,53,64,62,64,67,575000.0,5000.0,1,3,2,Low,3,60.0,62.25,59.25,40.25,Attacker
Liu Le,30,China PR,182.88,78.0,Normal,"LB,LM",72,72,64,46,37,34,22,39,25,41,46,57,57,61,67,47,38,26,28,33,29,64,22,66,63,53,57,42,36,55,55,70000.0,1000.0,1,2,2,Low,0,42.2,35.25,40.5,55.25,Defender
M. Koné,27,Ivory Coast,175.26,68.9,Lean,ST,81,82,79,72,71,62,42,57,66,70,26,30,12,71,64,53,51,56,50,56,77,75,60,68,31,65,74,60,57,69,70,1300000.0,14000.0,1,3,3,Medium,1,64.2,71.25,56.25,34.75,Attacker
C. Timite,21,Ivory Coast,152.4,78.9,Normal,ST,78,74,66,72,69,56,54,45,69,68,30,33,38,67,66,37,61,48,40,40,78,67,40,50,30,61,54,48,56,68,78,1500000.0,6000.0,1,3,3,Medium,10,61.6,71.75,55.25,42.0,Attacker
C. Chambers,24,England,182.88,73.0,Normal,"CDM,CB",59,66,60,65,73,74,69,59,46,50,72,77,74,75,72,59,68,45,55,49,52,71,53,82,71,68,66,64,54,74,79,6500000.0,56000.0,1,3,2,Medium,5,63.2,53.25,68.5,74.5,Defender
J. Hofmann,22,Germany,170.18,67.1,Normal,"CM,CDM,CAM",67,68,77,58,63,64,59,63,51,59,59,63,58,45,66,55,46,34,63,57,73,80,58,68,62,63,82,53,40,63,72,575000.0,1000.0,1,3,2,Medium,9,60.4,60.25,63.0,56.25,Midfielder
S. Sutter,32,Switzerland,154.94,81.2,Normal,RB,63,63,70,59,65,68,62,62,54,62,62,64,64,80,89,67,58,47,54,34,49,73,53,67,64,68,67,66,34,67,67,425000.0,3000.0,1,3,2,Low,0,66.4,56.0,70.25,67.5,Midfielder
P. Wiesinger,24,Austria,154.94,73.9,Lean,CB,65,70,51,54,60,64,58,48,19,56,60,68,63,72,67,56,61,37,29,22,39,73,42,61,64,65,66,63,37,66,70,700000.0,3000.0,1,3,2,Medium,4,50.4,42.0,59.25,65.75,Defender
F. Marchwiński,17,Poland,185.42,72.1,Lean,"CAM,ST",57,69,51,56,56,67,64,63,51,46,30,48,50,64,50,50,43,43,53,50,52,53,39,44,37,51,58,63,57,58,76,250000.0,1000.0,1,3,2,Medium,18,57.4,51.25,61.0,48.0,Midfielder
Yu Hanchao,32,China PR,152.4,64.9,Normal,"LM,RM",75,79,80,74,73,74,60,69,65,68,52,34,48,68,89,69,58,59,55,55,65,54,59,64,31,72,78,77,64,73,73,3500000.0,15000.0,1,4,3,Medium,0,74.2,68.0,73.0,50.5,Midfielder
J. Forlín,31,Argentina,154.94,73.9,Lean,CB,58,61,65,53,63,60,60,56,36,41,74,71,75,71,74,59,71,40,51,38,60,83,27,80,70,67,68,66,51,72,72,2300000.0,8000.0,1,3,2,Medium,0,55.8,47.5,62.5,72.75,Defender
I. Çipe,24,Turkey,198.12,82.1,Normal,GK,45,45,33,17,16,17,19,43,18,15,16,15,17,57,25,14,15,15,12,18,21,57,14,16,15,53,32,32,17,64,69,425000.0,7000.0,1,2,1,Medium,5,24.0,17.75,26.0,26.25,Defender
A. Rüdiger,26,Germany,190.5,84.8,Lean,CB,67,78,59,60,69,75,72,57,32,39,80,85,82,82,60,68,80,34,35,56,72,73,44,88,82,82,50,72,40,82,84,22500000.0,110000.0,2,3,2,High,2,56.8,50.75,66.0,82.25,Defender
A. Al Habib,26,Saudi Arabia,187.96,83.9,Normal,CB,57,67,57,49,46,41,29,37,33,39,61,65,64,75,61,32,63,25,32,28,28,72,25,59,60,56,62,44,38,63,65,375000.0,5000.0,1,2,2,Low,2,44.2,37.25,42.0,66.25,Defender
L. Wahlqvist,22,Sweden,182.88,78.0,Lean,"RM,RWB,RB",74,72,65,59,66,64,63,55,36,47,69,69,64,65,78,69,62,38,66,31,72,80,62,72,67,69,56,65,30,64,71,650000.0,3000.0,1,2,2,Medium,7,58.4,53.5,65.0,66.75,Defender
A. Ousou,19,Sweden,152.4,78.0,Normal,CB,62,62,43,22,29,32,30,24,23,23,47,54,52,63,60,25,45,19,30,19,33,73,22,43,45,43,66,39,35,50,67,50000.0,1000.0,1,3,2,Low,17,32.2,25.25,36.5,54.0,Defender
M. Fallatah,31,Saudi Arabia,152.4,66.2,Lean,ST,69,66,75,56,60,54,48,55,68,68,26,22,20,63,75,55,62,60,36,26,65,75,56,41,50,65,69,69,69,65,65,525000.0,6000.0,1,3,3,Low,0,61.6,64.25,58.0,32.75,Attacker
Servando,35,Spain,154.94,74.8,Normal,"CB,RB",67,67,69,38,57,66,62,41,36,48,60,69,65,73,79,54,75,50,43,52,68,86,35,90,63,58,54,62,38,69,69,325000.0,5000.0,1,3,2,Medium,0,52.0,47.5,62.0,66.75,Defender
Brais Méndez,22,Spain,187.96,76.2,Lean,"RM,RW,CM,CAM",75,77,72,78,80,74,69,78,77,77,47,40,32,70,70,69,52,65,74,56,73,65,78,45,49,74,52,78,62,76,85,12000000.0,17000.0,1,3,4,High,9,75.4,76.25,72.75,47.25,Attacker
P. Akouokou,21,Ivory Coast,182.88,78.0,Normal,"CM,CDM",65,69,66,59,61,65,64,62,42,51,64,61,56,68,59,59,59,42,43,32,59,62,51,59,62,59,65,61,49,62,74,525000.0,3000.0,1,2,2,Medium,12,57.4,52.75,62.5,62.25,Midfielder
L. Matarese,20,Italy,152.4,64.9,Normal,"LW,LM",69,67,76,68,67,60,47,55,57,58,25,28,22,42,34,58,43,50,51,40,64,47,49,39,17,54,86,57,50,62,74,550000.0,2000.0,1,3,3,Medium,12,54.8,61.75,49.0,29.25,Attacker
G. Oakley,23,England,187.96,86.2,Normal,ST,61,62,60,51,51,43,27,45,57,61,17,22,21,73,61,34,58,47,31,23,55,53,47,56,20,50,45,55,55,57,65,150000.0,1000.0,1,2,2,Low,8,51.4,56.0,44.0,33.25,Attacker
T. Chalobah,19,England,190.5,74.8,Normal,"CDM,CB",66,73,53,67,64,66,58,55,36,47,70,70,67,72,69,48,61,34,48,43,50,67,31,69,65,66,59,56,42,67,81,1400000.0,2000.0,1,3,3,Medium,14,58.6,50.0,62.0,69.75,Defender
S. Bossut,33,Belgium,187.96,78.9,Lean,GK,42,47,47,11,32,36,38,49,13,16,17,14,13,60,32,12,12,11,11,15,40,68,16,27,22,69,42,47,17,72,72,1800000.0,9000.0,1,3,1,Medium,0,28.2,20.0,38.75,26.0,Midfielder
D. Gissi,27,Switzerland,193.04,86.2,Normal,"CB,RB",44,40,59,51,64,62,57,50,42,50,65,62,61,76,68,63,65,42,51,61,58,58,49,71,64,69,38,55,42,66,69,650000.0,4000.0,1,3,2,Medium,3,54.6,50.25,59.25,66.0,Defender
V. Torosidis,33,Greece,182.88,82.1,Normal,"RB,LB,CDM",63,67,65,68,70,70,64,50,40,56,76,76,76,75,61,77,68,35,68,40,77,66,71,74,80,72,66,76,50,73,73,1500000.0,1000.0,2,3,3,Medium,0,57.8,60.25,61.25,75.75,Defender
F. Belluschi,35,Argentina,172.72,78.0,Normal,"CAM,CM,CF,CDM",69,69,79,73,78,73,74,80,66,74,65,66,59,70,63,76,58,75,82,79,83,69,80,73,67,78,74,78,75,76,76,3900000.0,21000.0,2,4,3,Medium,0,71.0,74.0,72.5,65.0,Attacker
F. Viteritti,25,Germany,175.26,71.2,Normal,"LM,CAM",78,72,84,65,66,62,59,60,63,58,32,39,37,59,76,62,30,62,67,58,67,63,62,58,40,57,90,66,74,65,67,650000.0,1000.0,1,5,3,Low,2,65.2,63.25,64.25,41.75,Midfielder
Dankler,27,Brazil,185.42,81.2,Stocky,CB,59,62,28,48,57,64,59,39,38,31,74,70,63,86,67,43,70,38,34,30,56,73,29,75,71,62,53,64,41,72,74,3100000.0,6000.0,1,3,2,Medium,2,51.2,43.25,57.25,73.25,Defender
J. Koundé,20,France,154.94,74.8,Normal,CB,72,70,64,57,66,69,59,33,29,28,76,79,77,69,68,26,77,32,27,26,41,81,23,66,76,74,75,75,43,75,87,10000000.0,14000.0,1,3,2,High,12,51.2,38.75,57.25,75.25,Defender
E. Minogue,17,Republic of Ireland,154.94,64.9,Lean,GK,31,27,29,10,16,24,30,36,7,5,14,10,11,38,35,10,10,8,10,11,16,58,8,23,8,45,48,31,16,48,66,50000.0,1000.0,1,1,1,Low,18,22.4,9.5,31.25,18.25,Midfielder
G. Shoji,26,Japan,182.88,73.9,Normal,CB,75,86,52,47,57,67,70,31,29,29,74,76,71,79,82,40,72,28,37,34,67,78,49,74,78,73,69,69,32,75,80,7500000.0,23000.0,1,5,2,Medium,5,51.2,43.0,62.5,75.0,Defender
M. Wasielewski,24,Poland,172.72,73.0,Stocky,RB,67,69,58,48,54,58,49,45,21,46,55,59,58,73,57,51,44,32,43,41,26,62,32,57,54,53,71,49,34,58,63,140000.0,1000.0,1,3,2,Low,5,45.8,35.25,52.25,61.25,Defender
S. Czajkowski,22,Denmark,154.94,74.8,Normal,ST,64,71,76,60,62,49,29,40,59,67,10,13,13,56,59,31,54,55,39,34,57,68,51,35,28,60,72,44,62,61,71,425000.0,2000.0,1,3,2,Medium,10,53.4,60.75,44.25,23.0,Attacker
A. Angulo,21,Colombia,172.72,68.0,Normal,LB,92,90,83,56,56,63,53,42,29,48,65,53,57,44,86,59,57,31,36,53,28,78,32,59,51,64,78,60,37,66,76,900000.0,1000.0,1,2,2,Medium,10,55.2,40.25,61.0,54.75,Midfielder
F. Fridriksson,19,Iceland,152.4,71.2,Lean,LWB,72,73,71,47,52,47,32,40,25,49,52,56,51,41,51,44,43,29,35,32,31,68,33,45,55,57,77,36,32,54,70,130000.0,1000.0,1,2,2,Medium,16,42.0,38.0,42.5,50.0,Defender
Leja,23,Spain,190.5,83.9,Normal,GK,29,15,30,14,10,20,18,46,7,7,14,11,14,41,42,14,11,9,12,12,23,65,7,16,8,57,47,33,17,61,71,300000.0,1000.0,1,3,1,Medium,10,25.8,12.75,31.5,20.0,Midfielder
D. Amoo,27,England,152.4,77.1,Normal,RM,88,92,86,64,62,55,51,56,59,59,33,41,36,70,65,64,59,49,50,43,59,63,53,48,32,51,83,58,58,64,64,475000.0,4000.0,1,3,3,Low,0,59.8,60.25,56.75,45.0,Attacker
R. Di Gennaro,25,Italy,187.96,79.8,Lean,GK,40,46,36,18,25,26,18,41,14,12,22,19,16,50,39,11,15,19,12,17,22,60,11,21,4,64,41,67,25,67,70,675000.0,11000.0,1,2,1,Medium,3,27.6,16.5,31.0,26.75,Midfielder
G. Trauner,26,Austria,182.88,82.1,Normal,CB,64,70,60,58,64,65,60,57,51,65,63,70,68,86,84,59,67,48,58,49,68,82,63,81,68,68,71,62,49,71,75,2500000.0,7000.0,1,3,2,Medium,4,63.0,60.5,66.5,71.75,Defender
K. Kaïboue,20,France,182.88,64.9,Lean,CDM,53,63,59,52,58,61,59,41,49,35,53,60,64,45,54,48,60,48,51,63,61,61,47,62,64,60,65,46,62,59,71,240000.0,1000.0,1,3,2,Medium,12,51.4,49.25,53.75,55.5,Defender
S. Melvin,24,Canada,193.04,89.8,Normal,GK,29,20,36,12,15,18,16,39,7,4,12,14,10,67,24,11,14,9,12,12,15,36,9,23,25,37,28,36,13,52,59,50000.0,1000.0,1,1,1,Low,7,20.0,9.5,24.25,25.75,Defender
T. McNamara,28,United States,175.26,77.1,Normal,"LW,CM",59,58,70,68,69,69,63,67,63,70,40,45,48,70,55,56,42,44,76,64,79,45,80,73,26,66,67,68,42,66,66,675000.0,3000.0,1,3,3,Low,0,64.4,70.0,63.5,50.75,Attacker
M. Henriksen,26,Norway,187.96,79.8,Normal,"CM,CDM,CAM",62,67,62,67,72,69,68,66,69,65,66,67,62,74,81,67,70,67,47,56,76,76,72,69,65,74,55,73,63,71,73,2800000.0,17000.0,1,2,3,Medium,2,70.4,69.25,71.0,67.25,Midfielder
S. Abdullahi,22,Nigeria,185.42,86.2,Stocky,"ST,RW",85,90,69,72,70,59,19,57,69,69,17,18,12,88,68,33,63,40,38,32,75,64,63,79,14,62,69,62,66,71,79,3600000.0,4000.0,1,3,3,Medium,8,65.0,71.25,50.75,33.75,Attacker
L. Zuta,26,FYR Macedonia,154.94,74.8,Lean,"LB,CB",76,79,69,61,57,59,54,63,45,44,62,55,65,62,66,64,53,34,46,43,67,68,43,74,60,66,70,60,43,64,66,450000.0,4000.0,1,3,2,Low,2,58.8,54.25,60.5,61.0,Defender
J. Rothwell,24,England,185.42,77.1,Lean,"LM,CM,RM",68,73,69,75,68,69,65,60,55,55,50,60,53,61,63,58,55,48,48,52,60,64,59,50,56,59,66,60,50,66,72,875000.0,10000.0,1,3,3,Medium,6,64.4,61.25,64.25,56.0,Midfielder
Oscar Lozano,22,Spain,152.4,71.2,Normal,"RM,RW",69,69,64,66,62,55,47,67,70,60,19,29,33,53,63,58,54,62,55,45,74,47,52,39,25,44,69,52,64,62,72,500000.0,1000.0,1,3,2,Medium,10,64.2,67.5,58.0,33.5,Attacker
A. Hoole,25,Australia,152.4,74.8,Normal,RM,83,85,84,59,58,59,56,57,48,55,47,49,48,62,79,58,54,29,70,70,66,60,49,51,38,62,76,54,69,63,65,450000.0,1000.0,1,3,3,Low,2,60.4,57.0,62.75,51.5,Midfielder
A. Reyes,19,Mexico,165.1,63.0,Lean,RW,74,72,71,61,60,58,56,56,55,59,30,34,31,37,45,58,40,50,57,43,57,45,42,40,28,45,90,51,40,59,73,325000.0,4000.0,1,3,2,Medium,14,55.0,58.0,53.75,33.0,Attacker
Kim Geon Ung,21,Korea Republic,185.42,78.0,Normal,"CDM,CB",62,63,60,56,55,62,64,61,38,59,61,61,54,74,60,36,54,33,34,39,63,62,57,68,61,60,58,52,44,62,74,475000.0,1000.0,1,3,2,Medium,12,55.4,54.0,61.75,62.5,Defender
Costinha,26,Portugal,170.18,64.0,Normal,"CM,CAM,RW",90,80,90,75,73,71,69,70,64,72,66,62,50,39,81,65,65,57,66,65,73,70,73,85,56,75,84,65,70,72,75,3800000.0,8000.0,1,4,3,Medium,3,72.2,71.0,72.75,54.25,Midfielder
O. Custodio,24,Switzerland,152.4,76.2,Normal,"CM,CDM",69,65,61,65,70,65,64,67,40,43,65,57,58,59,78,47,50,57,49,48,62,61,45,59,57,59,70,65,64,64,69,600000.0,3000.0,1,3,3,Medium,5,63.0,52.5,68.5,59.75,Midfielder
T. Hilliard-Arce,23,United States,185.42,78.9,Stocky,"CB,RB",66,62,55,32,41,48,45,27,22,28,62,62,59,75,59,24,65,26,21,23,30,79,18,70,62,58,58,59,31,64,71,550000.0,2000.0,1,2,2,Medium,7,37.6,28.0,44.75,64.5,Defender
L. Benito,27,Switzerland,185.42,84.8,Normal,LB,79,83,77,63,67,66,61,64,42,61,72,68,72,73,85,69,57,34,56,42,61,77,53,63,65,69,56,68,56,72,73,3000000.0,15000.0,1,3,3,Medium,1,64.0,56.75,69.0,71.25,Defender
Ripa,33,Spain,152.4,73.0,Normal,"LB,LWB",75,76,76,59,65,66,70,55,37,61,66,62,69,69,78,72,49,30,60,26,49,81,35,65,68,65,69,55,49,69,69,575000.0,5000.0,1,3,2,Medium,0,59.0,51.5,67.25,66.5,Midfielder
Rafael Lopes,27,Portugal,185.42,78.9,Normal,ST,67,54,64,64,67,64,40,51,74,73,25,19,18,77,79,51,72,69,41,34,76,79,66,75,46,71,65,66,72,71,72,2800000.0,7000.0,1,4,3,Medium,1,66.4,71.75,58.5,34.75,Attacker
D. Batth,28,England,190.5,89.8,Normal,CB,31,32,34,31,44,55,56,39,20,35,67,71,70,91,66,24,75,18,25,16,32,74,18,69,70,58,37,50,27,70,72,1700000.0,21000.0,1,2,2,Medium,2,42.2,29.5,54.0,74.75,Defender
Xavi Sintes,17,Spain,190.5,71.2,Lean,CDM,63,56,50,52,57,68,55,52,39,36,50,70,54,64,58,42,66,36,41,47,56,60,34,68,48,56,54,46,56,60,78,375000.0,1000.0,1,3,2,Medium,18,53.8,45.75,58.25,59.5,Defender
S. Rondón,29,Venezuela,185.42,98.0,Stocky,ST,69,68,66,70,71,68,40,53,75,77,33,23,13,85,72,48,84,75,53,52,85,71,68,72,36,73,46,76,65,77,77,9000000.0,41000.0,2,4,3,Medium,0,67.6,76.75,58.25,38.5,Attacker
Kauã Zanson,35,Brazil,152.4,72.1,Normal,"CB,RB",63,71,53,64,56,43,30,56,40,42,69,70,72,55,50,57,67,44,72,62,50,77,50,73,70,71,61,72,46,68,68,270000.0,10000.0,1,3,2,Medium,0,50.6,49.0,44.75,66.5,Defender
F. Chiesa,21,Italy,175.26,69.9,Lean,"RW,CF",87,85,86,84,81,76,60,73,70,76,30,34,34,64,78,72,50,68,74,48,81,55,78,62,65,76,77,76,62,79,87,18500000.0,51000.0,2,4,4,High,8,76.2,77.75,71.75,40.5,Attacker
S. Skrzybski,26,Germany,175.26,69.9,Normal,"ST,RM",85,84,83,75,74,70,52,64,74,71,35,28,21,55,78,67,58,72,71,59,73,79,72,58,32,72,82,63,68,73,74,4800000.0,25000.0,1,3,3,Medium,1,72.2,73.25,66.0,34.75,Attacker
M. Al Thani,22,Saudi Arabia,175.26,64.0,Lean,"RM,LM",72,70,53,56,54,51,46,51,51,51,21,25,24,45,52,50,30,36,38,33,45,49,41,37,20,48,76,48,48,55,65,140000.0,3000.0,1,3,2,Low,10,52.2,50.75,50.0,28.75,Attacker
Toquero,34,Spain,182.88,72.1,Normal,"RM,ST,LM,CAM",70,68,55,65,61,66,58,67,60,72,57,56,47,80,74,71,74,63,68,52,69,78,55,77,59,74,63,59,66,68,68,550000.0,5000.0,1,3,2,Medium,0,66.4,66.5,66.25,60.0,Attacker
Zubiaurre,22,Spain,187.96,82.1,Normal,GK,31,28,33,14,16,16,14,52,11,11,14,12,13,58,22,12,18,11,12,11,21,49,12,21,10,65,32,47,10,67,75,850000.0,4000.0,1,3,1,Medium,8,23.0,14.25,26.0,24.25,Midfielder
M. Röser,28,Germany,154.94,74.8,Normal,LM,80,83,74,62,63,62,57,65,55,57,40,32,31,62,67,66,42,58,66,68,71,63,63,52,29,59,76,67,59,65,65,575000.0,2000.0,1,4,3,Low,0,62.2,61.25,62.75,41.25,Midfielder
E. Pérez,30,Mexico,175.26,79.8,Normal,"RB,CB",76,79,67,60,65,64,61,53,44,60,65,65,66,72,75,65,66,46,56,32,60,76,48,66,64,67,68,65,46,69,69,800000.0,5000.0,1,3,2,Medium,0,59.2,56.0,63.25,67.0,Defender
